GeneID	ExpectedReadCount	TPM
Gene01049	177	46.02
Gene01050	21	5.34
Gene01051	5	2.25
Gene01052	7	6.76
Gene01053	15	17.42
Gene01054	572	73.51
Gene01055	8	4.41
Gene01056	3	7.4
Gene01057	0	0
Gene01058	97	9.28
Gene01059	42	14.76
Gene01060	2	0.19
Gene01061	0	0
Gene01062	21	2.32
Gene01063	79	16.46
Gene01064	400	48.1
Gene01065	265	27.52
Gene01066	21	17.75
Gene01067	1	0.9
Gene01068	0	0
Gene01069	137	17.61
Gene01070	0	0
Gene01071	0	0
Gene01072	162	20.75
Gene01073	181	49.17
Gene01074	163.04	27.3
Gene01075	93.96	28.14
Gene01076	4	1.36
Gene01077	31	2.11
Gene01078	57	2.42
Gene01079	23	20.84
Gene01080	0.07	0.01
Gene01081	1.93	0.17
Gene01082	302	38.06
Gene01083	71	8.51
Gene01084	3	0.23
Gene01085	193	25.56
Gene01086	1929	84.31
Gene01087	606	125.24
Gene01088	1	0.08
Gene01089	11	2.13
Gene01090	248	17.59
Gene01091	0	0
Gene01092	523	27.01
Gene01093	0	0
Gene01094	10	7.18
Gene01095	0	0
Gene01096	1	2.19
Gene01097	0	0
Gene01098	0	0
Gene01099	142	16.32
Gene01100	1	0.09
Gene01101	6	2.78
Gene01102	0	0
Gene01103	182.55	34.46
Gene01104	0	0
Gene01105	196	26.49
Gene01106	0	0
Gene01107	9	0.42
Gene01108	187	43.83
Gene01109	169	25.42
Gene01110	0	0
Gene01111	288	27.37
Gene01112	99	15.01
Gene01113	17	5.44
Gene01114	56	19.17
Gene01115	57	3.48
Gene01116	163.5	18.8
Gene01117	0	0
Gene01118	89	9.12
Gene01119	162	11.08
Gene01120	310	17.66
Gene01121	14	2.35
Gene01122	5	1.43
Gene01123	533	21.38
Gene01124	93	19.37
Gene01125	314	19.3
Gene01126	0	0
Gene01127	82	7.97
Gene01128	78	4.67
Gene01129	0	0
Gene01130	120	62.4
Gene01131	0	0
Gene01132	0	0
Gene01133	0	0
Gene01134	2	2.47
Gene01135	13	4.78
Gene01136	0	0
Gene01137	2	0.11
Gene01138	25	12.29
Gene01139	141	32.57
Gene01140	808	580.23
Gene01141	120	6.9
Gene01142	987	51.62
Gene01143	712	188.84
Gene01144	19	29.02
Gene01145	0	0
Gene01146	9	1.06
Gene01147	223	18.33
Gene01148	716	58.55
Gene01149	16	3.76
Gene01150	259	35.55
Gene01151	32	8.16
Gene01152	1	0.27
Gene01153	0	0
Gene01154	967	74.35
Gene01155	13	2.21
Gene01156	46	27.2
Gene01157	167	11.4
Gene01158	974	85.92
Gene01159	185	8.54
Gene01160	67	7.88
Gene01161	0	0
Gene01162	0	0
Gene01163	0	0
Gene01164	0	0
Gene01165	29	6.72
Gene01166	8	2.23
Gene01167	191	16.85
Gene01168	52	3.3
Gene01169	155.34	12.47
Gene01170	77	9.85
Gene01171	18	2.93
Gene01172	0	0
Gene01173	23	2.51
Gene01174	1	1.53
Gene01175	147	43.69
Gene01176	0	0
Gene01177	21	9.46
Gene01178	179	35.95
Gene01179	127	8.06
Gene01180	0	0
Gene01181	0	0
Gene01182	248	21.68
Gene01183	1	0.3
Gene01184	32	8.57
Gene01185	0	0
Gene01186	111	12.56
Gene01187	50	9.22
Gene01188	101	22.28
Gene01189	514	22.57
Gene01190	65	27.58
Gene01191	308	38.33
Gene01192	1491.7	126.88
